INDIVIDUALS	STRATA
fas14_red257	fas14
fas14_red258	fas14
fas14_red259	fas14
fas14_red260	fas14
fas14_red261	fas14
fas14_red262	fas14
fas14_red263	fas14
fas14_red264	fas14
fas14_red265	fas14
fas14_red266	fas14
fas14_red267	fas14
fas14_red268	fas14
fas14_red269	fas14
fas14_red270	fas14
fas14_red271	fas14
fas14_red272	fas14
fas14_red273	fas14
fas14_red274	fas14
fas14_red275	fas14
fas14_red276	fas14
fas14_red277	fas14
fas14_red278	fas14
fas14_red279	fas14
fas14_red280	fas14
fas14_red281	fas14
fas14_red282	fas14
fas14_red283	fas14
fas14_red284	fas14
fas14_red285	fas14
fas14_red286	fas14
fas10_red225	fas10
fas10_red226	fas10
fas10_red227	fas10
fas10_red228	fas10
fas10_red229	fas10
fas10_red230	fas10
fas10_red231	fas10
fas10_red232	fas10
fas10_red233	fas10
fas10_red234	fas10
fas10_red235	fas10
fas10_red236	fas10
fas10_red237	fas10
fas10_red238	fas10
fas10_red239	fas10
fas10_red240	fas10
fas10_red241	fas10
fas10_red242	fas10
fas10_red243	fas10
fas10_red244	fas10
fas10_red245	fas10
fas10_red246	fas10
fas10_red247	fas10
fas10_red248	fas10
fas10_red249	fas10
fas10_red250	fas10
fas10_red251	fas10
fas10_red252	fas10
fas10_red253	fas10
fas10_red254	fas10
fas10_red255	fas10
fas10_red256	fas10
fas15_red081	fas15
fas15_red082	fas15
fas15_red083	fas15
fas15_red084	fas15
fas15_red085	fas15
fas15_red086	fas15
fas15_red087	fas15
fas15_red088	fas15
fas15_red089	fas15
fas15_red090	fas15
fas15_red091	fas15
fas15_red092	fas15
fas15_red093	fas15
fas15_red094	fas15
fas15_red095	fas15
fas15_red096	fas15
fas15_red097	fas15
fas15_red098	fas15
fas15_red099	fas15
fas15_red100	fas15
fas15_red101	fas15
fas15_red102	fas15
fas15_red103	fas15
fas15_red104	fas15
fas15_red105	fas15
fas15_red106	fas15
fas15_red107	fas15
fas04_red325	fas04
fas04_red326	fas04
fas04_red327	fas04
fas04_red328	fas04
fas04_red329	fas04
fas04_red331	fas04
fas04_red334	fas04
fas04_red335	fas04
fas04_red336	fas04
fas04_red337	fas04
fas04_red338	fas04
fas04_red340	fas04
fas04_red341	fas04
fas04_red342	fas04
fas04_red343	fas04
fas04_red344	fas04
fas04_red345	fas04
fas04_red346	fas04
fas04_red347	fas04
fas04_red348	fas04
fas04_red349	fas04
fas04_red350	fas04
fas04_red365	fas04
fas04_red369	fas04
fas04_red371	fas04
fas04_red373	fas04
fas04_red377	fas04
fas04_red383	fas04
fas06_red421	fas06
fas06_red422	fas06
fas06_red423	fas06
fas06_red424	fas06
fas06_red425	fas06
fas06_red426	fas06
fas06_red427	fas06
fas06_red428	fas06
fas06_red429	fas06
fas06_red430	fas06
fas06_red431	fas06
fas06_red432	fas06
fas06_red433	fas06
fas06_red434	fas06
fas06_red435	fas06
fas06_red436	fas06
fas06_red437	fas06
fas06_red438	fas06
fas06_red439	fas06
fas06_red440	fas06
fas06_red441	fas06
fas06_red442	fas06
fas06_red443	fas06
fas06_red444	fas06
fas06_red445	fas06
fas06_red446	fas06
fas06_red447	fas06
fas06_red448	fas06
fas06_red449	fas06
fas06_red450	fas06
fas06_red451	fas06
fas06_red452	fas06
fas06_red453	fas06
fas06_red454	fas06
fas06_red455	fas06
fas11_red193	fas11
fas11_red194	fas11
fas11_red195	fas11
fas11_red196	fas11
fas11_red197	fas11
fas11_red198	fas11
fas11_red199	fas11
fas11_red200	fas11
fas11_red201	fas11
fas11_red202	fas11
fas11_red203	fas11
fas11_red204	fas11
fas11_red205	fas11
fas11_red206	fas11
fas11_red207	fas11
fas11_red208	fas11
fas11_red209	fas11
fas11_red210	fas11
fas11_red211	fas11
fas11_red212	fas11
fas11_red213	fas11
fas11_red214	fas11
fas11_red215	fas11
fas11_red216	fas11
fas11_red217	fas11
fas11_red218	fas11
fas11_red219	fas11
fas11_red220	fas11
fas11_red221	fas11
fas11_red222	fas11
fas11_red223	fas11
fas11_red224	fas11
fas12_red108	fas12
fas12_red109	fas12
fas12_red110	fas12
fas12_red111	fas12
fas12_red112	fas12
fas12_red113	fas12
fas12_red114	fas12
fas12_red115	fas12
fas12_red116	fas12
fas12_red117	fas12
fas12_red118	fas12
fas12_red119	fas12
fas12_red120	fas12
fas12_red121	fas12
fas12_red122	fas12
fas12_red123	fas12
fas12_red124	fas12
fas12_red125	fas12
fas12_red126	fas12
fas12_red127	fas12
fas12_red128	fas12
fas12_red129	fas12
fas12_red130	fas12
fas12_red131	fas12
fas12_red132	fas12
fas12_red133	fas12
fas12_red134	fas12
fas12_red135	fas12
fas12_red136	fas12
fas12_red137	fas12
fas01_red351	fas01
fas01_red352	fas01
fas01_red353	fas01
fas01_red354	fas01
fas01_red355	fas01
fas01_red356	fas01
fas01_red357	fas01
fas01_red358	fas01
fas01_red359	fas01
fas01_red360	fas01
fas01_red361	fas01
fas01_red362	fas01
fas01_red363	fas01
fas01_red364	fas01
fas01_red366	fas01
fas01_red367	fas01
fas01_red368	fas01
fas01_red370	fas01
fas01_red372	fas01
fas01_red374	fas01
fas01_red375	fas01
fas01_red376	fas01
fas01_red378	fas01
fas01_red379	fas01
fas01_red380	fas01
fas01_red381	fas01
fas01_red382	fas01
fas01_red384	fas01
fas01_red385	fas01
fas07_red665	fas07
fas07_red666	fas07
fas07_red667	fas07
fas07_red668	fas07
fas07_red669	fas07
fas07_red670	fas07
fas07_red671	fas07
fas07_red672	fas07
fas07_red673	fas07
fas07_red674	fas07
fas07_red675	fas07
